,NPM,NAA,NLK,NLM,NAU
221,[7.612636184088467e-08],[0.001979884372818743],[3.4213205630888925e-08],[4.569596113528152e-08],[0.32429639697938323]
222,[7.501712023062925e-08],[0.0019799813892367834],[3.839499105460521e-08],[4.8303574216920714e-08],[0.32597935626603863]
223,[8.310971140633161e-08],[0.001979888193524342],[3.9107651043952314e-08],[5.281015054271556e-08],[0.5115628440153871]
224,[8.167355664571365e-08],[0.001979732665347471],[4.001760496140229e-08],[5.628446261624462e-08],[0.4802074886176026]
225,[8.05482820843456e-08],[0.001980024138819938],[3.5438111011545014e-08],[5.427961954497502e-08],[0.5306590300143109]
226,[8.895550516998105e-08],[0.0019798517998279703],[3.568717968983183e-08],[5.0595569050010007e-08],[0.5595400789394763]
227,[8.83863826307207e-08],[0.00197997195282972],[3.768872513694494e-08],[5.264588496227587e-08],[0.4304814149548176]
228,[8.245287921957774e-08],[0.001980030312794548],[3.683439560562982e-08],[5.213838758003354e-08],[0.3592062451001761]
229,[7.709872529269666e-08],[0.0019800308948440593],[3.628293624828308e-08],[5.1553505396813724e-08],[0.30949943842417627]
230,[7.513574180954525e-08],[0.001979882938712875],[3.393409781227768e-08],[4.867029283411204e-08],[0.31638627789874846]
231,[7.612636184088467e-08],[0.001979884372818743],[3.4213205630888925e-08],[4.569596113528152e-08],[0.32429639697938323]
232,[7.501712023062925e-08],[0.0019799813892367834],[3.839499105460521e-08],[4.8303574216920714e-08],[0.32597935626603863]
233,[8.310971140633161e-08],[0.001979888193524342],[3.9107651043952314e-08],[5.281015054271556e-08],[0.5115628440153871]
234,[8.279208643788189e-08],[0.001980027695586485],[3.745077274054169e-08],[5.65274967686452e-08],[0.5458481809112263]
235,[8.294723607737926e-08],[0.0019799797011799797],[3.632077077682428e-08],[5.205085436680063e-08],[0.524036311710695]
236,[8.473558728026262e-08],[0.001979929654379963],[3.900733543111784e-08],[5.9006525276824017e-08],[0.5419562877443581]
237,[7.821020465142208e-08],[0.001979856397477263],[3.431256028852487e-08],[4.82566427245702e-08],[0.4279980835922568]
238,[8.279208643788189e-08],[0.001980027695586485],[3.745077274054169e-08],[5.65274967686452e-08],[0.5458481809112263]
239,[8.294723607737926e-08],[0.0019799797011799797],[3.632077077682428e-08],[5.205085436680063e-08],[0.524036311710695]
240,[8.473558728026262e-08],[0.001979929654379963],[3.900733543111784e-08],[5.9006525276824017e-08],[0.5419562877443581]
241,[7.821020465142208e-08],[0.001979856397477263],[3.431256028852487e-08],[4.82566427245702e-08],[0.4279980835922568]
242,[7.251135317889254e-08],[0.0019799996448359807],[3.499615003268248e-08],[4.1956045329500356e-08],[0.2995717393887092]
243,[7.826955538319e-08],[0.0019799609378819243],[3.480345392525127e-08],[4.995892765415577e-08],[0.31981377125432386]
244,[8.61706025751682e-08],[0.0019800023209234187],[3.4463138093245595e-08],[5.069708201189935e-08],[0.3128229633344851]
245,[7.434194928008277e-08],[0.0019800988988722735],[3.601920264568199e-08],[4.330535466771942e-08],[0.3115693756052312]
246,[8.122702923762939e-08],[0.001979932435552091],[3.519946192724698e-08],[4.9043543888720946e-08],[0.40000285373580613]
247,[9.610986822517424e-08],[0.0019799522817739975],[3.645813428346265e-08],[5.3821433310157186e-08],[0.5196854966038893]
248,[8.279208643788189e-08],[0.001980027695586485],[3.745077274054169e-08],[5.65274967686452e-08],[0.5458481809112263]
249,[8.294723607737926e-08],[0.0019799797011799797],[3.632077077682428e-08],[5.205085436680063e-08],[0.524036311710695]
250,[8.473558728026262e-08],[0.001979929654379963],[3.900733543111784e-08],[5.9006525276824017e-08],[0.5419562877443581]
251,[7.821020465142208e-08],[0.001979856397477263],[3.431256028852487e-08],[4.82566427245702e-08],[0.4279980835922568]
252,[7.251135317889254e-08],[0.0019799996448359807],[3.499615003268248e-08],[4.1956045329500356e-08],[0.2995717393887092]
253,[7.826955538319e-08],[0.0019799609378819243],[3.480345392525127e-08],[4.995892765415577e-08],[0.31981377125432386]
254,[8.61706025751682e-08],[0.0019800023209234187],[3.4463138093245595e-08],[5.069708201189935e-08],[0.3128229633344851]
255,[7.434194928008277e-08],[0.0019800988988722735],[3.601920264568199e-08],[4.330535466771942e-08],[0.3115693756052312]
256,[8.122702923762939e-08],[0.001979932435552091],[3.519946192724698e-08],[4.9043543888720946e-08],[0.40000285373580613]
257,[9.610986822517424e-08],[0.0019799522817739975],[3.645813428346265e-08],[5.3821433310157186e-08],[0.5196854966038893]
258,[8.170653440130914e-08],[0.0019798846865852447],[3.679842925035435e-08],[5.292672539457909e-08],[0.5084221593076347]
259,[8.742926828146843e-08],[0.001979876982851055],[3.997955112476201e-08],[5.4172601512421184e-08],[0.5015721901839851]
260,[8.483553051979332e-08],[0.0019797723959713294],[3.5934673900514405e-08],[5.617518900359134e-08],[0.4828026044441012]
261,[8.218545996258974e-08],[0.001979636348372837],[3.743042392903719e-08],[5.2817199960629194e-08],[0.48084936821462637]
262,[8.170653440130914e-08],[0.0019798846865852447],[3.679842925035435e-08],[5.292672539457909e-08],[0.5084221593076347]
263,[8.742926828146843e-08],[0.001979876982851055],[3.997955112476201e-08],[5.4172601512421184e-08],[0.5015721901839851]
264,[8.483553051979332e-08],[0.0019797723959713294],[3.5934673900514405e-08],[5.617518900359134e-08],[0.4828026044441012]
265,[8.218545996258974e-08],[0.001979636348372837],[3.743042392903719e-08],[5.2817199960629194e-08],[0.48084936821462637]
266,[7.22807045464297e-08],[0.001979886294771936],[3.474076016040154e-08],[5.180326157073039e-08],[0.35687421920456625]
267,[7.298514346223476e-08],[0.0019801519436351556],[3.5764852391784835e-08],[5.001708109392031e-08],[0.4010197731694449]
268,[7.035877026757747e-08],[0.0019800514936780737],[3.742695153722862e-08],[5.3576465896955046e-08],[0.40434297668560054]
269,[7.612201490154282e-08],[0.0019800721637724433],[3.7358604662441436e-08],[5.142768683881666e-08],[0.3831313083993873]
270,[8.04213421699364e-08],[0.001979821015707338],[3.656449490852103e-08],[5.1307201973719515e-08],[0.457154577743985]
271,[8.170653440130914e-08],[0.0019798846865852447],[3.679842925035435e-08],[5.292672539457909e-08],[0.5084221593076347]
272,[8.742926828146843e-08],[0.001979876982851055],[3.997955112476201e-08],[5.4172601512421184e-08],[0.5015721901839851]
273,[8.483553051979332e-08],[0.0019797723959713294],[3.5934673900514405e-08],[5.617518900359134e-08],[0.4828026044441012]
274,[8.218545996258974e-08],[0.001979636348372837],[3.743042392903719e-08],[5.2817199960629194e-08],[0.48084936821462637]
275,[7.22807045464297e-08],[0.001979886294771936],[3.474076016040154e-08],[5.180326157073039e-08],[0.35687421920456625]
276,[7.298514346223476e-08],[0.0019801519436351556],[3.5764852391784835e-08],[5.001708109392031e-08],[0.4010197731694449]
277,[7.035877026757747e-08],[0.0019800514936780737],[3.742695153722862e-08],[5.3576465896955046e-08],[0.40434297668560054]
278,[7.612201490154282e-08],[0.0019800721637724433],[3.7358604662441436e-08],[5.142768683881666e-08],[0.3831313083993873]
279,[8.04213421699364e-08],[0.001979821015707338],[3.656449490852103e-08],[5.1307201973719515e-08],[0.457154577743985]
280,[8.902429175398013e-08],[0.00197994508469333],[3.710539044792306e-08],[5.225363927978522e-08],[0.505362922040736]
281,[8.414763035665593e-08],[0.0019798982372620138],[3.739542068298705e-08],[5.372221966990854e-08],[0.5033381773007922]
282,[8.267254091039746e-08],[0.001980141896641447],[3.951330920285026e-08],[5.815844459841715e-08],[0.5831273889348451]
283,[8.867285293086762e-08],[0.001980233453585701],[3.885086729512927e-08],[5.4298062989137224e-08],[0.4790916701493404]
284,[8.04213421699364e-08],[0.001979821015707338],[3.656449490852103e-08],[5.1307201973719515e-08],[0.457154577743985]
285,[8.902429175398013e-08],[0.00197994508469333],[3.710539044792306e-08],[5.225363927978522e-08],[0.505362922040736]
286,[8.414763035665593e-08],[0.0019798982372620138],[3.739542068298705e-08],[5.372221966990854e-08],[0.5033381773007922]
287,[8.267254091039746e-08],[0.001980141896641447],[3.951330920285026e-08],[5.815844459841715e-08],[0.5831273889348451]
288,[8.867285293086762e-08],[0.001980233453585701],[3.885086729512927e-08],[5.4298062989137224e-08],[0.4790916701493404]
289,[7.754742038446586e-08],[0.0019802090606207898],[3.8111464364089276e-08],[5.6479596260678966e-08],[0.4563181941968045]
