time	NAA Phase	NAA Amp	NPM Phase	NPM Amp
313	98.34747	0.6994787	133.8318	-4.69125
314	97.41506	0.5995129	134.105	-4.477847
315	97.68335	0.4750781	131.7627	-4.661733
316	97.8217	0.5957263	133.3982	-4.606997
317	97.72114	0.6111828	134.1523	-4.924604
318	97.72944	0.677915	136.2411	-4.513262
319	97.48517	0.700841	134.0178	-4.666225
320	96.21	0.683634	136.7957	-4.643589
321	96.98468	0.6893274	134.8872	-4.886914
322	96.61681	0.6215832	134.4253	-4.518118
323	96.82669	0.6726098	133.9639	-4.263169
324	96.91192	0.7047717	135.9351	-4.112146
325	96.66054	0.5417883	134.4303	-4.63655
326	96.86825	0.7952881	135.5303	-4.430259
327	96.44176	0.5426538	134.1761	-5.049531
328	95.71584	0.5000305	131.2585	-4.894451
329	96.16432	0.6299036	133.3167	-4.241348
330	96.67161	0.6828467	132.7005	-4.685515
331	96.23512	0.696427	132.6134	-4.739663
332	95.62707	0.6321643	131.3209	-3.805183
333	96.36333	0.6962512	134.6058	-4.190637
334	95.94913	0.7199084	131.8755	-4.118371
335	97.03035	0.6696887	134.3566	-4.834792
336	96.04075	0.7228833	133.3537	-4.19582
337	97.05323	0.7422705	132.4927	-4.243518
338	96.7703	0.7310596	132.2122	-4.54313
339	98.03178	0.4858996	132.4621	-4.319709
340	96.54795	0.7675915	133.3945	-4.248708
341	96.29682	0.7444128	131.425	-4.534985
342	97.40439	0.8307971	131.719	-4.221982
343	96.38528	0.6881384	132.2984	-4.312505
344	95.8691	0.4727258	131.8526	-4.602204
345	96.55027	0.6563818	134.1985	-4.004897
346	95.6935	0.6723511	131.7732	-4.674612
347	95.82935	0.5887182	133.2667	-4.460852
348	96.24906	0.659845	133.4143	-4.678674
349	95.76496	0.717605	130.5149	-4.445911
350	95.89543	0.6442956	133.4054	-4.900847
351	96.24251	0.6949609	133.1703	-4.300525
352	96.10585	0.6654358	130.6568	-4.323992
353	96.21689	0.5826953	130.4251	-4.255476
354	95.54279	0.7555786	131.4242	-4.224551
355	95.1843	0.5988464	131.3174	-4.307212
356	95.95369	0.6059082	131.4434	-4.597578
357	95.5276	0.5504834	130.4187	-4.381362
358	96.42648	0.8063403	131.1452	-4.61019
359	95.45944	0.520437	130.304	-4.379739
360	95.60039	0.8198742	130.6391	-4.364761
361	95.49484	0.6557873	132.5462	-4.242368
362	95.78561	0.6663135	129.5287	-4.514199
363	94.50268	0.7446362	131.3589	-4.091973
364	95.70283	0.5888367	131.3777	-4.242224
365	93.64438	0.763916	131.835	-4.205933
