time	NAA Phase	NAA Amp	NPM Phase	NPM Amp
302	19.78744	24.91957	-54.31575	30.58533
303	19.89495	24.81256	-54.5705	30.6797
304	18.59886	24.94758	-54.16357	30.59661
305	19.70058	25.12705	-55.22648	30.98249
306	20.32263	24.96476	-55.82832	30.69134
307	20.25051	24.94076	-55.31001	30.77945
308	20.2008	24.65197	-55.07135	30.7558
309	21.30946	24.68202	-55.23645	30.8101
310	21.39568	25.03866	-55.99211	31.04118
311	20.93254	24.77522	-56.37938	30.97968
312	19.63314	24.79913	-54.95354	30.76379
313	20.12084	25.67404	-55.43852	30.97598
314	20.07621	25.18525	-54.5512	30.84127
315	18.97572	24.76121	-55.6153	31.01105
316	19.83672	25.09632	-55.24703	30.87812
317	18.11872	24.83281	-54.85547	30.85312
318	17.30856	24.96055	-56.44343	30.99336
319	17.54406	25.0903	-55.64586	30.8668
320	19.22447	25.17017	-54.62343	30.89942
321	17.36572	24.88771	-55.68736	30.78583
322	18.16373	24.94694	-56.26434	30.98332
323	18.88285	24.88982	-54.65607	30.93428
324	17.66254	24.90157	-56.22618	30.72506
325	17.24182	24.7666	-56.59731	30.8745
326	16.61489	24.92623	-56.27778	31.1112
327	16.74457	25.12965	-54.88413	30.65526
328	17.85963	24.86745	-55.81092	30.83714
329	17.63781	24.74436	-55.8038	30.90683
330	17.58141	24.97238	-55.59077	30.84004
331	16.88924	24.93907	-55.84663	30.86098
332	16.61319	24.89066	-55.24772	30.74151
333	15.3038	24.72634	-56.20087	30.94689
334	17.30242	24.70527	-57.03561	30.91757
335	16.34505	24.79083	-56.49317	31.05667
336	14.40283	25.21766	-55.93596	30.71557
337	13.48263	24.69145	-55.0908	30.7954
338	14.99044	24.86401	-55.51149	30.84319
339	16.49752	24.7695	-57.31773	30.91768
340	16.49226	24.56059	-56.43557	30.8484
341	15.29965	24.5817	-56.40829	30.98404
342	12.58163	24.59546	-56.65645	30.93858
343	13.63934	24.68003	-56.36015	30.90353
344	14.03789	24.44174	-56.96655	30.93435
