time	NAA-L Phase	NAA-L Amp	NPM-L Phase	NPM-L Amp
376	61.89032	24.20115	88.76099	31.08481
377	59.32631	24.64493	87.88446	30.93963
378	61.68682	24.05233	89.15551	31.05223
379	60.92999	24.09078	87.82528	31.03633
380	63.47591	24.15188	87.18794	30.98511
381	63.8059	23.8336	87.09398	31.10991
382	62.06303	24.25293	87.14608	31.08691
383	62.11116	24.18423	87.94731	31.02249
384	62.70467	23.948	87.93723	30.9411
385	60.40248	24.30381	87.92028	31.0804
386	63.89115	24.11512	87.60692	31.02407
387	62.37958	24.45826	86.48175	31.03372
388	65.01047	24.34094	87.88291	30.90444
389	61.61635	23.77923	87.75722	30.89325
390	62.27424	24.05973	86.58391	31.04222
391	61.56205	24.2943	87.53786	31.19382
392	62.33607	24.22221	87.62306	31.13067
393	61.83171	24.22369	87.59488	31.0096
394	62.35241	24.27213	86.88763	31.10912
395	62.9438	24.20098	87.34468	31.0671
396	60.61785	24.09709	86.66274	31.10781
397	60.57972	24.47744	88.27265	31.24024
398	63.20023	24.31432	85.93158	31.07581
399	60.13562	24.43625	87.63302	31.00463
400	63.19015	24.15949	85.92009	31.09199
401	62.68997	24.35533	87.0339	31.16199
402	63.16224	24.33425	86.66627	31.18404
403	61.8161	24.11547	86.14722	31.04544
404	62.19555	24.33495	87.27095	31.29116
405	62.45035	24.17476	86.36089	31.08996
406	62.10417	24.21282	86.80489	31.17071
407	62.48444	24.52368	87.77553	31.18979
408	63.96507	25.1317	85.79511	31.09304
409	62.42061	24.39721	86.36513	31.05678
410	61.85605	24.37219	86.66736	31.16461
411	62.03582	24.05917	87.03171	31.22896
412	63.16915	24.13363	86.92767	31.18552
413	63.33237	24.13194	85.96409	31.16564
414	63.05181	24.11163	86.85464	31.04585
415	65.03585	24.82247	85.96389	31.17988
416	63.78276	24.33679	85.20334	31.16721
417	64.06513	24.58546	86.56092	31.04922
418	63.75354	24.25579	86.70731	31.16168
419	61.85634	24.30038	87.00777	31.21873
420	62.71792	24.47533	87.30732	31.21754
421	64.70306	24.21107	86.60381	31.13089
422	63.3843	24.44292	85.29548	31.1586
423	65.13797	24.65412	85.74269	31.16476
424	62.2266	24.54221	85.19052	31.18445
425	63.74616	24.34595	85.57249	31.24857
426	64.24336	24.34453	86.05239	31.14677
427	61.81048	24.2489	86.86043	31.37836
428	63.32303	24.33933	86.1258	31.13475
429	63.28314	24.38732	85.58219	31.22287
430	61.13974	24.43644	86.91338	31.23699
431	61.03337	24.11032	85.64876	31.27519
432	64.57818	23.91799	85.49609	31.22849
433	63.69961	24.10146	86.15616	31.15075
434	64.3416	24.04713	86.23538	31.21724
435	63.25618	24.14135	85.87726	31.42719
436	63.56434	24.18182	86.90147	31.32962
437	64.6795	23.9915	86.28683	31.32022
438	62.51573	24.12679	86.84282	31.46979
439	63.95577	23.92013	85.53036	31.2122
440	62.73789	24.04568	85.55709	31.32291
441	63.32807	23.73192	86.29179	31.35607
442	61.87639	23.97067	85.60189	31.47808
443	62.04916	24.08255	85.83035	31.28888
444	62.56454	24.01461	86.31664	31.35013
445	62.61036	24.33472	85.67597	31.40746
446	61.3136	24.10388	86.50023	31.27959
447	64.40369	24.27832	86.54742	31.40471
448	64.52172	23.84011	85.57511	31.40297
449	62.69661	24.19426	86.25892	31.52242
450	61.80593	24.17228	85.19724	31.52267
451	64.58731	24.4694	85.57772	31.44205
452	62.84457	24.05793	85.41546	31.3185
453	63.78773	24.19664	85.26687	31.24265
454	63.3198	24.23548	86.40602	31.34007
455	63.56954	23.98585	86.33042	31.4468
456	63.60671	24.15888	85.03704	31.48172
457	61.82859	24.01029	85.59784	31.32578
458	63.51496	24.10413	85.29484	31.24483
459	63.70398	24.24954	85.83753	31.50252
460	62.36652	24.00912	84.77255	31.56803
461	61.78408	24.18049	84.46533	31.37449
462	63.20995	24.02758	85.50019	31.51257
463	65.15157	24.39828	85.79205	31.56006
464	63.45943	24.01645	85.00615	31.49019
465	62.01375	24.24235	85.43393	31.42934
466	63.86174	23.78512	85.25667	31.45548
467	62.28142	23.8886	85.04712	31.52299
468	63.65397	24.12563	85.67385	31.55688
469	64.51285	24.04205	85.60685	31.46183
470	60.35293	23.91951	84.18353	31.72007
471	60.49498	23.82809	84.83401	31.83271
472	64.00106	23.9158	84.48606	31.44921
473	60.58722	24.26091	84.522	31.49113
474	62.15441	24.32334	84.51028	31.49445
475	62.0531	24.07433	84.55834	31.46031
476	61.5543	24.21959	84.38401	31.61209
477	61.75805	24.14343	84.72625	31.46713
478	61.66028	24.16522	84.11177	31.76673
